cycle,contestant,FCO,place
1,Shannon,3,2
2,Shandi,3,3
3,Amanda,4,3
4,Kahlen,3,2
5,Nik,3,2
6,Joanie,5,2
7,CariDee,3,1
7,Melrose,3,2
8,Jaslene,4,1
9,Chantal,3,2
10,Anya,4,2
11,Samantha,2,2
11,McKey,2,1
11,Analeigh,2,3
11,Marjorie,2,4
12,Allison,4,2
13,Nicole,3,1
14,Krista,4,1
15,Ann,6,1
16,Molly,4,2
17,Dominique,2,5
17,Laura,2,4
17,Allison,2,2
17,Lisa,2,2
18,Laura,3,2
19,Laura,3,1
19,Nastasia,3,4
20,Jourdan,6,1
21,Lenox,3,4
21,Keith,3,1
22,Mamé,3,2
22,Nyle,3,1
22,Lacey,3,3
23,India,5,1
